year,title,artist,price,techniques,Unframed Dimensions,Unframed Dimensions (inch),tags,support,encadrement,image_filename
2013,Teminal,Jun Gu Noh,1 400 €,"crayon, gouache",36 x 56 x 0.2 cm,14.2 x 22 x 0.1 inch,"Scène de vie, Oeuvres d'art Pop art, Vehicules, Figuratif, Bus, Illustration, bleu ciel, Artistes Peintres, Artistes Sud-coréens",Not Found,Cadre marron,Teminal_Jun Gu Noh_2013.jpg
2024,For the love of Monet,Gaëlle Wagner,1 300 €,"peinture aérosol, acrylique",60 x 60 x 2 cm,23.6 x 23.6 x 0.8 inch,"Abstrait, Expressionnisme abstrait, Monet, Pointillisme, multicolore, rose, Artistes paysagistes semi-abstraits, Abstraction gestuelle, Accumulations joyeuses colorées, Explosions de couleurs, Explorations abstraites, Artistes Peintres, Artistes en éditions, Artistes Dessinateurs, Designers, Artistes Français",Peinture sur toile sur chassis,Œuvre vendue encadrée,For the love of Monet_Gaëlle Wagner_2024.jpg
2024,For the love of Monet,Gaëlle Wagner,1 300 €,"peinture aérosol, acrylique",60 x 60 x 2 cm,23.6 x 23.6 x 0.8 inch,"Abstrait, Expressionnisme abstrait, Monet, Pointillisme, multicolore, rose, Artistes paysagistes semi-abstraits, Abstraction gestuelle, Accumulations joyeuses colorées, Explosions de couleurs, Explorations abstraites, Artistes Peintres, Artistes en éditions, Artistes Dessinateurs, Designers, Artistes Français",Peinture sur toile sur chassis,Œuvre vendue encadrée,For the love of Monet_Gaëlle Wagner_2024.jpg
2024,Rythme des strates,Sophie Dumont,1 990 €,huile,60 x 60 x 2 cm,23.6 x 23.6 x 0.8 inch,"Abstrait, Œuvres d'art couleurs, Expressionnisme abstrait, Lignes, marron, Rouge, Artistes paysagistes semi-abstraits, Artistes Peintres, Artistes Français",Peinture sur toile sur chassis,Caisse américaine en bois noir,Rythme des strates_Sophie Dumont_2024.jpg
2024,Rythme des strates,Sophie Dumont,1 990 €,huile,60 x 60 x 2 cm,23.6 x 23.6 x 0.8 inch,"Abstrait, Œuvres d'art couleurs, Expressionnisme abstrait, Lignes, marron, Rouge, Artistes paysagistes semi-abstraits, Artistes Peintres, Artistes Français",Peinture sur toile sur chassis,Caisse américaine en bois noir,Rythme des strates_Sophie Dumont_2024.jpg
2024,Untitled in Red,Ronald Hunter,1 249 €,acrylique,80 x 80 x 3 cm,31.5 x 31.5 x 1.2 inch,"Abstrait, Géométrique, Art abstrait, Œuvres d'art couleurs, Motif, rose, Rouge, Artistes inspirés par Rothko, Artistes Peintres, Artistes en éditions, Artistes Neerlandais",Peinture sur toile sur chassis,Caisse américaine noir,Untitled in Red_Ronald Hunter_2024.jpg
2024,Untitled in Red,Ronald Hunter,1 249 €,acrylique,80 x 80 x 3 cm,31.5 x 31.5 x 1.2 inch,"Abstrait, Géométrique, Art abstrait, Œuvres d'art couleurs, Motif, rose, Rouge, Artistes inspirés par Rothko, Artistes Peintres, Artistes en éditions, Artistes Neerlandais",Peinture sur toile sur chassis,Caisse américaine noir,Untitled in Red_Ronald Hunter_2024.jpg
2024,Oceanic elegance,Daniela Pasqualini,13 359 €,"acrylique, pastel à l'huile, techniques mixtes",182.9 x 152.4 x 2.5 cm,72 x 60 x 1 inch,"Abstrait, Paysage marin, Impasto, Mer, Mouvement, bleu foncé, bleu ciel, Abstraction gestuelle, Artistes Naïfs, Artistes abstraits or et argent, Artistes Peintres, Artistes Américains",Peinture sur toile sur chassis,Non encadrée,Oceanic elegance_Daniela Pasqualini_2024.jpg
2024,Oceanic elegance,Daniela Pasqualini,13 359 €,"acrylique, pastel à l'huile, techniques mixtes",182.9 x 152.4 x 2.5 cm,72 x 60 x 1 inch,"Abstrait, Paysage marin, Impasto, Mer, Mouvement, bleu foncé, bleu ciel, Abstraction gestuelle, Artistes Naïfs, Artistes abstraits or et argent, Artistes Peintres, Artistes Américains",Peinture sur toile sur chassis,Non encadrée,Oceanic elegance_Daniela Pasqualini_2024.jpg
2024,Magenta Red Energy M 1,Peter Nottrott,1 390 €,acrylique,120 x 83 x 4 cm,47.2 x 32.7 x 1.6 inch,"Abstrait, Art abstrait, multicolore, rose, Rouge, Explosions de couleurs, Artistes Sculpteurs, Artistes Peintres, Artistes Allemands",Peinture sur toile sur chassis,Non encadrée,Magenta Red Energy M 1_Peter Nottrott_2024.jpg
2024,Magenta Red Energy M 1,Peter Nottrott,1 390 €,acrylique,120 x 83 x 4 cm,47.2 x 32.7 x 1.6 inch,"Abstrait, Art abstrait, multicolore, rose, Rouge, Explosions de couleurs, Artistes Sculpteurs, Artistes Peintres, Artistes Allemands",Peinture sur toile sur chassis,Non encadrée,Magenta Red Energy M 1_Peter Nottrott_2024.jpg
2024,Flower BB,Fabien Novarino,1 900 €,"peinture aérosol, acrylique, impression digitale, techniques mixtes",80 x 80 x 1 cm,31.5 x 31.5 x 0.4 inch,"Street art, Icônes, Oeuvres d'art Pop art, Brigitte Bardot, Gris, rose, Pop culture Street-artistes, Artistes Sculpteurs, Artistes Peintres, Artistes Photographes, Artistes en éditions, Artistes Français",Not Found,Non encadrée,Flower BB_Fabien Novarino_2024.jpg
2024,Flower BB,Fabien Novarino,1 900 €,"peinture aérosol, acrylique, impression digitale, techniques mixtes",80 x 80 x 1 cm,31.5 x 31.5 x 0.4 inch,"Street art, Icônes, Oeuvres d'art Pop art, Brigitte Bardot, Gris, rose, Pop culture Street-artistes, Artistes Sculpteurs, Artistes Peintres, Artistes Photographes, Artistes en éditions, Artistes Français",Not Found,Non encadrée,Flower BB_Fabien Novarino_2024.jpg
